Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Lu et al. 2016,DT071_8,590,0.0099,23.4,0.044,0.45,1.19,0.64,7.99,3.07,38.6,16.8,98.4,23.8,269,65.1
Lu et al. 2016,DT071_42,522,0.0084,21.6,0.026,0.42,1.15,0.63,7.4,2.74,35.6,15.78,85.6,21.2,224,57.1
Lu et al. 2016,DT071_19,616,0.0064,24.8,0.0199,0.23,0.99,0.68,8.17,3.02,41.8,17.85,103.3,24.64,277.6,67.3
Lu et al. 2016,DT071_45,534,0.0055,20.5,0.044,0.56,1.68,0.87,8.3,3.09,38.6,15.2,89.3,20.5,211,53.5
Lu et al. 2016,DT071_27,515,0.0046,19.94,0.038,0.83,1.13,0.51,9.05,2.75,35.3,14.92,83.3,19.94,221.7,54.4
Lu et al. 2016,DT071_2,447,0.0045,22.7,0.0168,0.43,0.78,0.365,6.66,2.11,28.1,12.55,75.6,17.9,201,49.6
Lu et al. 2016,DT071_34,796,0.0035,47.5,0.075,1,1.99,1.26,11.9,4.14,57,22.2,127,30.1,318,76.8
Lu et al. 2016,DT071_13,313,0.0035,10.71,0.02,0.36,0.74,0.349,4.2,1.65,20.6,8.57,51.7,12.14,144.5,37
Lu et al. 2016,DT071_47,565,0.0031,22.7,0.0262,0.54,1.1,0.65,8.3,2.67,37.5,16.43,95.5,22.6,252,63.8
Lu et al. 2016,DT071_32,599,0.0026,31.1,0.033,0.82,1.48,0.66,9.8,3.16,41.4,17.67,98.6,23.27,247,61.1
Lu et al. 2016,DT071_17,345,0.0025,14.4,0.0214,0.21,0.73,0.43,5.8,1.72,22.3,9.91,58.7,15.19,172,43.4
Lu et al. 2016,DT071_43,498,0.0023,21.3,0.028,0.31,1.21,0.41,6.64,2.55,34.5,14.44,83,20,220,54.6
Lu et al. 2016,DT071_29,520,0.002,30.4,0.032,0.57,1.3,0.57,9.12,3.08,37.9,15.4,83.3,19.38,201.9,48.4
Lu et al. 2016,DT071_10,485,0.0019,31.7,0.045,0.75,1.32,0.8,8.77,2.8,36.8,14.51,75.3,17,183.4,43.9
Lu et al. 2016,DT071_12,352,0.0012,23.4,0.043,0.5,1.09,0.4,6.21,2.1,25.8,10.8,57.5,13.3,142,33.5
Lu et al. 2016,DT071_31,419,8.00E-04,21.13,0.0157,0.23,1.08,0.38,5.97,2.46,27.9,12.36,66.3,17.24,179,45
Lu et al. 2016,DT071_49,641,6.00E-04,24.92,0.0204,0.47,1.04,0.78,8.76,3.23,44.7,18.52,106.5,24.73,263,63.1
Lu et al. 2016,DT071_1,716,5.00E-04,39.09,0.056,0.85,1.91,1.05,12.2,4.14,52.7,20.8,113.1,26.6,280,66.1
Lu et al. 2016,DT071_16,483,1.00E-04,30.9,0.048,0.61,1.57,0.87,8.45,2.82,35,14.31,76.1,17.76,189.2,45.4
Lu et al. 2016,NNH5_30,1460,0.89,85.3,0.739,6.57,6.9,2.11,28.4,9.1,103.3,38.9,202,47.9,477,114.1
Lu et al. 2016,NNH5_16,1295,0.63,61.4,0.196,2.42,3.54,1.07,17.5,7.22,98.1,41.1,207.2,44,401.1,85.4
Lu et al. 2016,NNH5_27,569,0.529,33.31,0.272,1.71,1.45,0.33,5.96,2.51,31.4,13.97,86.3,24.16,298.5,82.1
Lu et al. 2016,NNH5_5,1408,0.51,69.1,0.318,2.43,1.87,0.5,9.4,3.51,55.7,31.7,222.6,66.7,881,249.8
Lu et al. 2016,NNH5_7,1058,0.377,41.6,0.295,2.73,4.77,1.21,24.9,8.06,91.1,34.5,162.2,32.9,302,62.8
Lu et al. 2016,NNH5_13,558,0.227,23.46,0.111,0.58,1.03,0.32,5.64,2.18,28.2,13.93,87.7,24.29,290.7,76.2
Lu et al. 2016,NNH5_8,726,0.128,39.1,0.087,0.87,1.41,0.62,8.44,2.85,43.1,18.33,115.5,28.71,338,88.9
Lu et al. 2016,NNH5_34,1170,0.02,44.1,0.2,3.23,6.73,1.27,29.7,9.21,99.1,36.8,174.2,35.76,331,74.9
Lu et al. 2016,NNH5_17,1173,0.0077,49,0.155,2.35,3.8,0.94,19.6,6.92,85.4,33.4,179,40.5,399,90.5
