Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Lu et al. 2016,2013_534_20,126.2,0.0011,6.14,0.0025,0.056,0.145,0.095,1.31,0.494,7.11,3.3,20.75,5.3,66.9,19.99
Lu et al. 2016,2013_534_26,733,2.00E-04,22.6,0.073,1.38,1.64,0.99,11.8,3.9,49.2,20,114.2,28,304,78.8
Lu et al. 2016,2015-195_C_10,457,0.57,23.8,0.16,0.93,1.55,0.69,7.24,2.31,29.6,13.09,72.9,17.82,198.6,51.9
Lu et al. 2016,2015-195_R_3,415,0.234,25.86,0.092,0.73,1.04,0.61,5.87,2.01,27.1,11.94,65.1,15.53,174.3,45.2
Lu et al. 2016,2015-195_C_23,914,0.214,69.2,0.229,3.27,5.3,2.33,22,5.6,69.2,27,137.2,30.9,318,76.6
Lu et al. 2016,2015-195_C_1,511,0.142,23.4,0.086,0.51,0.81,0.78,7.3,2.69,35.2,15.1,82.8,19.7,212.9,54.1
Lu et al. 2016,2015-195_R_8,447,0.137,26.8,0.053,0.73,0.97,0.76,7.3,2.14,28.9,12.36,72.3,17.3,188,50.5
Lu et al. 2016,2015-195_R_1,638,0.119,36.2,0.065,1.15,1.96,0.9,11,3.16,44.1,19.03,100.9,24.2,261.3,66.7
Lu et al. 2016,2015-195_C_8,359.4,0.113,17.39,0.045,0.49,1.03,0.51,4.49,1.62,22.8,9.97,57.4,14.84,162.4,43.9
Lu et al. 2016,2015-195_R_22,300,0.099,22.85,0.065,0.5,0.89,0.51,5.66,1.53,20.7,8.37,47.9,11.4,121.7,31.3
Lu et al. 2016,2015-195_C_21,445,0.085,21.5,0.05,0.48,1.44,0.67,5.9,2.19,27.4,12.26,71.4,17.9,198,52.5
Lu et al. 2016,2015-195_R_10,288,0.071,16.12,0.074,0.52,1.07,0.72,5.64,1.85,21.6,8,42.4,10.01,107.1,27.5
Lu et al. 2016,2015-195_C_7,622,0.048,31.8,0.06,0.66,1.58,0.67,9.6,3.07,39.9,17.5,97.4,24.2,269,68.7
Lu et al. 2016,2015-195_C_6,591,0.047,35.04,0.072,1.03,1.7,0.93,9.4,2.79,37.8,16.47,91.5,22.69,242.1,60.5
Lu et al. 2016,2015-195_R_14,1030,0.042,84,0.143,2.45,4.42,2.29,24.5,7,84,32.3,161,34.1,340,78.8
Lu et al. 2016,2015-195_C_2,393,0.032,16.4,0.029,0.51,0.94,0.56,6.05,1.65,23.6,10.59,63.6,15.8,178.6,47.3
Lu et al. 2016,2015-195_C_15,503,0.031,29.9,0.056,0.56,1.15,0.77,6.26,2.59,33,14.39,80.9,19.89,210.6,54.7
Lu et al. 2016,2015-195_C_13,440,0.02,20.4,0.038,0.48,1.3,0.66,6.4,2.01,27.1,12.32,68.9,17.59,197.6,52.1
Lu et al. 2016,2015-195_R_11,479,0.018,37.9,0.053,0.94,1.94,1.07,8.4,2.79,33.3,14.04,74.4,17.5,187.8,46.9
Lu et al. 2016,2015-195_R_15,312.5,0.018,23.46,0.043,0.64,1.16,0.59,5.64,1.71,21.5,8.56,47.8,11.39,127.3,31.83
Lu et al. 2016,2015-195_R_9,449,0.018,24.4,0.031,0.29,1,0.67,7,2.03,28.6,13,74.3,17.8,189,47.5
Lu et al. 2016,2015-195_R_16,632,0.016,35.4,0.048,0.98,1.67,0.89,9.3,3.09,38.7,17.27,99.6,24.6,266.4,71.8
Lu et al. 2016,2015-195_C_12,583.3,0.014,29.72,0.055,0.83,1.64,0.86,9.51,2.92,38.1,15.79,91.3,22.76,246.2,63.5
Lu et al. 2016,2015-195_R_17,479,0.014,23.2,0.035,0.63,1.34,0.62,7.09,2.26,28.6,13.33,76.4,18.89,212.7,56.4
Lu et al. 2016,2015-195_R_13,536,0.013,36.7,0.073,0.88,1.65,0.87,9.6,3,37.1,15.4,83.7,19.2,207,51
Lu et al. 2016,2015-195_R_5,424,0.013,32.4,0.049,0.64,1.69,0.79,7.58,2.53,29.7,12.44,66.8,15.89,168.9,43.1
Lu et al. 2016,2015-195_C_9,516,0.013,24.6,0.029,0.54,1.23,0.69,6.8,2.48,32.9,14.67,81.7,20.4,225,57.9
Lu et al. 2016,2015-195_R_21,905,0.0127,47,0.072,1.09,1.99,1.29,13.5,4.32,59,25.8,142.3,33.3,352,86.3
Lu et al. 2016,2015-195_C_3,421,0.012,20.6,0.037,0.45,1.19,0.61,5.55,2.06,26,11.65,69.1,17,188,49.1
Lu et al. 2016,2015-195_R_20,450,0.011,30.1,0.033,0.97,1,0.72,7.43,2.44,30,12.6,69.1,17.3,183,46.3
Lu et al. 2016,2015-195_C_11,468,0.0105,22,0.043,0.64,1.12,0.77,6.76,1.99,30.6,12.81,73,18.4,207.1,54.9
Lu et al. 2016,2015-195_C_16,503,0.01,24.7,0.029,0.92,1.19,0.72,8.2,2.65,33.9,14.5,80.2,20.4,206,53.8
Lu et al. 2016,2015-195_R_19,617,0.01,35.7,0.059,0.88,1.94,0.84,10.5,3.05,41,17.42,96.4,23.9,254.1,64.1
Lu et al. 2016,2015-195_R_23,366,0.01,31.5,0.049,0.89,1.43,0.88,6.51,2.2,26.2,10.3,56,12.75,136.9,34.2
Lu et al. 2016,2015-195_R_2,494,0.0095,29.5,0.048,0.68,1.29,0.61,7.19,2.35,32.9,13.84,75.7,18.22,200,51.6
Lu et al. 2016,2015-195_C_20,449,0.0095,20.46,0.033,0.65,0.89,0.62,6.36,1.98,28.6,11.91,71.8,18.24,204.6,55.1
Lu et al. 2016,2015-195_C_22,517,0.0079,26.3,0.048,0.97,1.2,0.72,8,2.47,32.8,14.76,83.4,20.2,221.3,57.3
Lu et al. 2016,2015-195_R_18,660,0.0077,33.5,0.056,0.83,1.71,0.88,10.5,3.14,43.3,18.5,104.3,25,278,70.9
Lu et al. 2016,2015-195_C_19,400.4,0.0066,20.03,0.039,0.96,0.78,0.57,6.31,2.01,26.8,11.13,66.3,15.29,170.6,44.6
Lu et al. 2016,2015-195_C_14,706,0.0066,39.2,0.085,1.31,2.98,1.23,13.2,4.04,52.7,20.8,112,26.6,276,67.3
Lu et al. 2016,2015-195_C_4,568,0.0065,29.7,0.038,0.75,1.38,0.73,8.6,2.93,37.4,16.9,91.4,22.4,243,61.4
Lu et al. 2016,2015-195_R_7,538,0.0057,31.8,0.04,0.77,1.6,0.9,8,2.58,34.4,14.7,83.8,21.1,228,58
Lu et al. 2016,2015-195_R_12,500,0.0052,27.7,0.045,0.64,1.15,0.9,7.31,2.49,32.1,13.96,81.1,19.44,218,57.5
Lu et al. 2016,2015-195_R_4,606,0.0036,35.6,0.053,0.96,1.5,0.99,8.3,3.05,37.7,17.4,92.9,23.5,248,65.1
Lu et al. 2016,2015-195_R_6,361.4,0.0031,28.68,0.048,0.72,1.18,0.71,6.5,1.96,26.1,10.25,54.9,13.15,147.1,36.68
Lu et al. 2016,2015-195_C_17,390,9.00E-04,18,0.026,0.49,0.91,0.59,6.1,1.91,24.3,11.16,62.6,15.91,178.6,47.7
Burnham and Berry 2017,KB42,708,0.02,12.3,0.049,0.62,2.04,0.281,11.8,4.33,57.9,22.6,117,25.2,240,48.3
Burnham and Berry 2017,KB42,2884,0.017,1.91,0.041,0.65,2.83,0.231,28.1,13.8,222,94.5,504,114,1067,204
Burnham and Berry 2017,KB42,1253,0.006,3.48,0.021,0.44,1.83,0.295,15.4,6.86,99.5,42.2,222,49.2,464,91.3
Burnham and Berry 2017,KB42,1066,0.004,18.3,0.052,1.16,3.39,0.814,21.1,7.07,91.4,33.8,163,34.7,322,61.9
Burnham and Berry 2017,KB42,1672,0.071,11.9,0.085,1.16,4.15,0.664,27.1,10.5,142,56.2,280,62.6,585,113
Burnham and Berry 2017,KB42,2886,0.007,1.87,0.028,0.65,3.09,0.2,29.2,14.2,218,93.6,496,108,986,182
Burnham and Berry 2017,KB42,2289,0.003,6.88,0.038,0.67,3.59,0.349,28.5,12.4,185,76.1,391,85,769,141
Burnham and Berry 2017,KB42,4015,0.092,2.05,0.073,1.16,4.28,0.255,37.7,18.7,300,129,695,157,1478,279
Burnham and Berry 2017,KB42,1410,0.002,1.21,0.044,0.85,3.32,0.079,22.8,9.01,120,47.1,232,48.3,436,81.9
Burnham and Berry 2017,KB42,1649,0.173,14.6,0.083,0.97,2.47,0.37,20.6,8.88,134,53.2,265,60,554,102
Burnham and Berry 2017,KB42,933,0.24,2.32,0.16,1.29,1.94,0.131,11.4,4.84,71.2,30.2,162,37.5,369,72.8
Burnham and Berry 2017,KB42,2012,0.095,11.5,0.077,1.52,4.72,0.073,36.4,14,186,71.7,331,68.5,595,108
Burnham and Berry 2017,KB42,3269,0.006,2.38,0.041,0.76,3.73,0.239,33.3,16.3,249,106,560,123,1109,207
Burnham and Berry 2017,KB42,472,0.003,7.94,0.059,0.82,1.47,0.667,8.89,3.01,37,14,73.1,17.4,176,39.5
Burnham and Berry 2017,BB19,2224,0.003,1.66,0.079,2,6.11,0.148,40.5,15.2,206,78.7,379,82.3,728,130
Burnham and Berry 2017,BB19,1485,0.003,0.699,0.033,0.63,2.56,0.104,19.9,9.31,134,48.8,231,49.3,436,75.1
Burnham and Berry 2017,BB19,1205,0.037,18.5,0.065,1.27,3.4,0.398,20.6,7.95,107,40.9,198,44.6,410,74.1
Burnham and Berry 2017,WB151,2765,0.011,1.42,0.119,1.91,6.41,0.28,45.4,17.6,237,91.2,443,91.8,812,150
Burnham and Berry 2017,WB151,2499,0.057,2.27,0.064,1.11,3.45,0.232,30,13.7,199,82,422,92.3,861,159
Burnham and Berry 2017,WB151,930,0.013,1.68,0.088,1.11,3.12,0.165,16.9,6.37,84.7,29.8,142,29.4,272,51.5
Burnham and Berry 2017,WB151,260,0.068,14.3,0.327,4.09,4.44,0.712,12.7,2.76,25.6,8.4,40.1,9.26,98.6,20.8
Burnham and Berry 2017,WB151,1492,0.047,2.34,0.055,0.7,1.67,0.121,16.9,7.83,118,46.1,233,51.3,478,91.3
Burnham and Berry 2017,WB151,1820,0.013,2.35,0.039,0.7,2.34,0.136,19.9,9.19,140,58.2,310,69.2,650,126
Burnham and Berry 2017,BB11,2374,0.216,3.15,0.185,1.64,3.99,0.538,28.9,12.8,199,81.1,421,95.8,884,174
Burnham and Berry 2017,BB11,2199,0.009,4.19,0.023,0.6,2.5,0.265,23.1,11.1,181,75.4,398,93.7,869,160
Burnham and Berry 2017,BB12,2706,0.029,6.28,0.103,1.48,4.96,0.696,39.9,16.5,246,94.9,467,102,891,160
Burnham and Berry 2017,BB12IC,2773,0.156,7.98,0.176,1.8,4.86,0.522,37.1,15.4,240,95.7,490,109,990,180
Burnham and Berry 2017,BB12IC,1233,0.019,4.75,0.186,3.36,5.64,0.963,25.2,8.07,108,41.1,205,47.1,433,82.1
Burnham and Berry 2017,BB12IC,2204,0.075,2.51,0.069,0.93,2.74,0.345,22,11.2,180,76.1,408,99.2,951,176
Burnham and Berry 2017,F3,1932,0.01,1.78,0.09,1.45,4.09,0.214,30.3,11.9,164,65,321,69.2,627,120
Burnham and Berry 2017,F3,1664,0.069,0.837,0.066,1.08,2.66,0.112,20.9,9.56,134,54.2,287,62,580,111
Burnham and Berry 2017,F3,1440,0.138,2.33,0.227,1.65,2.52,0.28,17.2,7.48,111,46.9,246,57.5,533,105
Burnham and Berry 2017,F3,1351,0.012,1.65,0.063,0.96,3.53,0.142,24.3,9.17,119,45.8,222,45.7,403,76.5
Burnham and Berry 2017,F3,1653,0.089,1.75,0.113,1.23,2.77,0.25,22.7,9.53,133,54.8,284,62.7,599,114
Burnham and Berry 2017,F3,1977,0.006,1.89,0.124,2.44,6.09,0.137,40.4,14.6,182,68.4,322,64.7,566,106
Burnham and Berry 2017,F3,2434,0.022,0.993,0.05,0.95,3.32,0.088,29.4,12.7,194,80.9,419,95.4,891,174
Burnham and Berry 2017,F3,2033,0.024,0.861,0.066,0.73,2.52,0.116,22.7,10.7,158,67.3,357,78.3,725,145
Burnham and Berry 2017,F3,2472,0.008,1.49,0.048,0.62,3.45,0.185,30,13.5,203,82.6,429,96.4,888,170
Burnham and Berry 2017,F3,2093,0.128,1.21,0.098,0.77,3.12,0.093,24.9,11.4,169,68.4,359,79.2,738,144
Burnham and Berry 2017,KB165,1542,0.005,1.87,0.061,1.54,4.96,0.332,33.2,11.9,148,52.4,244,54,491,87
Burnham and Berry 2017,KB165,857,0.037,5.58,0.082,0.92,2.32,0.316,13.3,5.13,72.5,28.7,139,31.3,287,56.3
Burnham and Berry 2017,KB165,1761,0.012,5.6,0.053,0.94,2.75,0.268,21.4,9.89,149,59.8,309,72.9,690,127
Burnham and Berry 2017,KB165,2073,0.215,6.3,0.141,1.53,3.99,0.385,27.6,12.3,174,69,350,78.2,697,138
Burnham and Berry 2017,KB165,609,0.088,3.12,0.117,2,4.14,1.04,19.9,5.72,63.8,20.6,85,16.3,136,23.8
Burnham and Berry 2017,PL296,3415,0.054,2.17,0.088,1.29,3.87,0.19,35.4,18,263,114,572,129,1218,218
Burnham and Berry 2017,PL296,3525,0.17,1.77,0.199,1.62,3.61,0.173,32.4,16.5,261,116,616,136,1267,238
Burnham and Berry 2017,BB02,1791,0.037,3.18,0.125,1.63,3.72,0.481,26,10.7,159,61.2,297,66.6,595,115
Burnham and Berry 2017,BB02,2042,0.106,5.31,0.104,1.26,3.61,0.52,25.7,11.3,170,69.4,358,80.8,735,139
Burnham and Berry 2017,BB02,606,0.088,13.8,0.143,1.09,2.06,0.74,10.1,3.33,47.4,18.2,99,23.9,245,55.9
Burnham and Berry 2017,VB4,2436,0.031,1.21,0.093,1.22,3.81,0.157,31.3,13.9,208,84.3,423,95.9,868,158
Burnham and Berry 2017,VB4,2742,0.064,2.66,0.256,4.17,9.02,0.335,54.2,19.7,263,97.6,457,95.4,826,143
Burnham and Berry 2017,VB4,2718,0.138,3.35,0.311,4.14,8.52,0.382,56.1,19.3,262,96.6,451,91.8,794,142
Burnham and Berry 2017,VB4,2368,0.098,2.84,0.133,1.59,4.19,0.29,30.5,13.6,204,82,416,95,859,156
Burnham and Berry 2017,PL286,2268,0.016,1.39,0.037,0.57,2.43,0.2,23.4,11.3,175,73.7,381,84.1,778,145
Burnham and Berry 2017,PL286,740,0.011,10.3,0.097,1.45,2.31,0.923,15.6,5.16,62.2,23.2,116,26.3,261,56.4
Burnham and Berry 2017,PL286,3963,0.072,2.45,0.097,1.72,5.25,0.323,42,20.1,310,126,654,137,1281,222
Burnham and Berry 2017,PL286,3319,0.048,1.98,0.075,0.9,3.82,0.158,31.9,16.1,252,106,568,126,1163,220
Burnham and Berry 2017,PL286,1266,0.116,12.2,0.119,1.41,2.66,0.412,19.9,7.88,106,42.1,205,42.4,378,71.4
Burnham and Berry 2017,PL286,3974,0.04,3.68,0.065,0.91,4.12,0.122,37.9,19.5,304,130,685,150,1379,239
Burnham and Berry 2017,PL286,2195,0.067,4.8,0.081,0.98,3.25,0.36,27.5,12.1,177,72.9,370,80.2,717,132
Burnham and Berry 2017,PL286,2573,0.009,6.7,0.063,1.04,3.44,0.268,28.8,13.5,198,83.4,436,91.6,809,155
Burnham and Berry 2017,PL286,3028,0.007,1.61,0.046,0.64,2.98,0.128,28.9,14.4,226,97.9,518,112,1001,190
Burnham and Berry 2017,AB105,755,0.014,7.25,0.027,0.49,1.88,0.256,12.2,4.6,67,26,127,28.8,266,47.2
Burnham and Berry 2017,AB105,2746,0.031,14.2,0.351,6.75,12.9,2.4,68.2,22.1,282,102,454,94.8,824,138
Burnham and Berry 2017,AB105,1090,0.001,9.54,0.038,1.09,3.12,0.419,20.4,7.25,101,38.3,187,41,374,66.2
Burnham and Berry 2017,AB105,785,0.001,5,0.042,0.9,2.89,0.494,17.3,5.9,75.8,27.5,129,28.9,268,46.7
Burnham and Berry 2017,AB105,895,0.042,11.2,0.05,0.82,2.43,0.351,15.7,5.94,82,31.9,153,34.9,320,55.1
Burnham and Berry 2017,AB105,2132,0.002,12.9,0.134,2.93,6.79,1.01,42.8,15.3,206,77.9,375,82.5,767,129
Burnham and Berry 2017,AB451,1066,0.027,13.9,0.05,1.05,2.22,0.438,13.5,5.38,81.5,34.3,186,47.2,495,98.9
Burnham and Berry 2017,AB451,1303,0.081,15.3,0.073,1.03,2.84,0.582,17.3,6.84,103,42.8,230,58.1,579,115
Burnham and Berry 2017,AB451,879,0.079,12,0.063,0.87,1.63,0.395,10.9,4.36,65.6,27.8,152,39.6,409,83.2
Burnham and Berry 2017,AB451,689,0.028,6.96,0.039,0.59,1.44,0.419,9.1,3.37,51.6,21.5,119,29.2,317,64.5
Burnham and Berry 2017,AB451,950,0.002,12.5,0.041,0.75,1.64,0.393,12.2,4.91,72.6,30,168,42.8,456,92.1
Burnham and Berry 2017,AB451,557,0.002,7.83,0.013,0.36,1.05,0.25,6.74,2.7,40.9,16.9,95.4,25.4,272,56.9
Burnham and Berry 2017,AB293,813,0.037,15.7,0.047,0.75,2.03,0.487,13.4,5.04,68.4,27.4,139,32.8,315,59.9
Burnham and Berry 2017,AB293,1202,0.041,13.7,0.123,2.27,4.95,1.24,27.5,9.28,117,43.7,195,41.6,360,63.8
Burnham and Berry 2017,AB293,1974,0.016,18.6,0.207,3.8,7.93,2.09,48,15.8,199,71,321,68.1,599,104
Burnham and Berry 2017,AB293,608,0.05,15.5,0.027,0.45,1.12,0.268,9.02,3.38,47.4,19.5,104,26.2,256,48.4
Burnham and Berry 2017,AB293,729,0.015,18.9,0.039,0.9,1.86,0.401,11.2,4.17,59.1,23.7,122,30,293,56.3
Burnham and Berry 2017,AB293,1109,0.001,15.3,0.056,0.97,2.68,0.881,19,6.97,98.4,39,191,44.4,414,76.2
Burnham and Berry 2017,AB293,842,0.011,14.7,0.036,0.64,1.84,0.242,12.6,4.85,72.7,28.7,148,37,372,69.7
Burnham and Berry 2017,AB293,1562,0.183,17.5,0.116,1.72,5.1,0.789,30.5,10.9,146,55.1,261,58.5,528,93.7
Burnham and Berry 2017,BB46,1676,0.128,14.7,0.144,1.84,3.9,0.528,30,10.6,155,60.4,292,64.6,590,105
Burnham and Berry 2017,AB6,1297,0.011,14.4,0.078,1.1,3.17,0.536,21.2,8.16,114,45,225,50.9,467,85.8
Burnham and Berry 2017,AB6,1242,0.21,16,0.132,1.23,3.33,0.33,18.2,6.45,98.1,42.3,219,53.1,500,94.6
Burnham and Berry 2017,BB102,571,0.056,13.8,0.035,0.63,1.68,0.395,8.66,3.1,44.3,18.1,96.3,23.9,243,50.5
Burnham and Berry 2017,BB102,1635,0.015,21.9,0.178,3.48,6.5,1.73,34.1,11.1,145,54.8,278,63.9,615,121
Burnham and Berry 2017,KB22,989,0.001,15.6,0.055,1.16,2.74,0.579,15.2,5.48,79.6,32.6,175,43.7,446,88.3
Burnham and Berry 2017,AB40,2938,0.169,8.77,0.149,1.33,3.98,0.3,33.1,16.3,255,101,510,122,1198,198
Burnham and Berry 2017,AB40,1754,0.001,3.71,0.01,0.24,1.56,0.097,14.3,7.63,135,58.5,321,84,847,146
Burnham and Berry 2017,AB40,1726,0.1,30.9,0.132,2.35,5.7,1.03,31,11.2,155,58.9,284,71.5,686,113
Burnham and Berry 2017,TEM2,1157,0.011,2.99,0.21,3.55,5.58,1.02,26.1,8.4,110,40.4,189,40.9,371,64
Burnham and Berry 2017,TEM2,913,0.006,2.98,0.16,2.38,4.17,0.804,19.9,6.34,83.5,31.4,149,33.6,312,54.8
Burnham and Berry 2017,TEM2,1714,0.025,3.56,0.242,3.9,6.74,1.37,41.5,13.3,167,61.5,276,57.1,492,86.4
Burnham and Berry 2017,TEM2,2534,0.03,4.2,0.278,5.02,8.28,1.74,56.8,19.8,259,94.3,424,86.4,720,121
Burnham and Berry 2017,TEM2,1591,0.033,3.7,0.278,3.76,6.46,1.11,30.7,10,137,55.2,274,60.2,528,101
Burnham and Berry 2017,TEM2,1297,0.029,3.64,0.233,3.6,5.39,1.03,25.8,8.64,113,44.5,216,47.2,425,79.1
Burnham and Berry 2017,TEM2,707,0.006,2.69,0.079,1.38,2.97,0.506,13.9,4.89,63.4,23.8,115,26.2,239,45.4
Burnham and Berry 2017,TEM2,1055,0.011,5.58,0.057,1.28,2.34,0.46,13.9,5.06,75.4,32.9,184,46.5,470,94.1
Burnham and Berry 2017,TEM2,1306,0.013,4.2,0.213,3.71,5.61,1.09,26.9,9.17,121,44.4,213,48.7,462,77.8
Burnham and Berry 2017,TEM2,515,0.002,2.57,0.039,0.83,2.13,0.292,10.6,3.52,46.9,17.4,82.3,18.4,177,30.1
Burnham and Berry 2017,TEM2,701,0.002,3.49,0.053,0.97,2.15,0.314,11.4,4.01,56.4,22.3,118,29,279,56.1
Burnham and Berry 2017,TEM2,1231,0.019,4.73,0.186,3.35,5.62,0.956,25.2,8.04,107,41,204,46.9,432,81.7
Burnham and Berry 2017,TEM2,1104,0.065,4.16,0.159,2.97,5.11,1.06,24.7,8.15,103,36.9,177,38.5,357,61.8
Burnham and Berry 2017,TEM2,449,0.001,2.42,0.031,0.59,1.18,0.268,7.98,2.84,39.4,14.9,73,16.5,155,28.7
Burnham and Berry 2017,TEM2,1123,0.007,3.4,0.188,2.73,4.74,0.881,24.7,7.88,104,38.6,183,40.1,368,66
Burnham and Berry 2017,TEM2,484,0.001,3.68,0.025,0.42,1.12,0.254,7.08,2.82,38.9,15,79.9,19.1,188,35.3
Burnham and Berry 2017,TEM2,590,0.001,3.83,0.047,0.61,1.57,0.349,9.35,3.53,47.6,18.9,98.1,23.1,217,40.6
Burnham and Berry 2017,MG31,1199,0.009,16.5,0.043,0.77,2.48,0.44,17.5,7.28,104,41.9,211,49.2,456,84.8
Burnham and Berry 2017,MG31,2389,0.2,20.6,0.151,1.92,4.67,0.662,33.9,14.5,210,83.8,420,94.6,865,158
Burnham and Berry 2017,MG42,1202,0.075,35.5,0.114,1.74,4.03,0.94,19.8,7.39,101,40.5,206,48.6,476,91.5
Burnham and Berry 2017,MG42,443,0.183,9.78,0.124,0.95,0.86,0.304,5.64,2.05,31.8,13.2,72.6,18.5,190,40.4
Burnham and Berry 2017,MG42,1397,0.007,16.4,0.117,2.2,5.01,1.37,28.2,9.89,131,49.3,230,51.4,467,84.3
Burnham and Berry 2017,MG42,1085,0.064,20.8,0.09,1.81,3.74,0.809,19.2,6.66,90.5,35.8,185,43.6,413,82.4
Burnham and Berry 2017,MG42,997,0.008,25.7,0.052,0.87,2.43,0.555,13,5.04,76.2,31.9,171,42.8,430,87.2
Burnham and Berry 2017,MG42,655,0.044,18.8,0.037,0.47,1.47,0.371,9.16,3.61,50.7,20.5,112,27.9,283,57.3
Burnham and Berry 2017,BB62,1263,0.001,31.3,0.07,1.56,4.19,1.32,23.1,7.92,109,42.7,217,52.1,518,100
Burnham and Berry 2017,BB62,2443,0.035,25.2,0.48,8.12,15.6,5,67.6,20.5,244,86.3,408,88.4,808,149
Burnham and Berry 2017,BB62,1799,0.189,38.2,0.138,2.32,5.13,1.7,31,10.7,149,61,313,73.6,703,146
Burnham and Berry 2017,BB62,1374,0.119,22.3,0.108,1.92,4.3,1.24,24.5,8.48,115,46.1,236,56.6,550,109
Burnham and Berry 2017,AB195,817,0.005,25.4,0.064,1.44,3.35,0.853,18.6,5.97,77.7,28.3,134,30.1,289,50.6
Burnham and Berry 2017,AB195,823,0.02,27.9,0.054,0.8,2.22,0.395,12.6,4.99,67.5,27.1,139,34.6,348,64
Burnham and Berry 2017,AB195,1503,0.019,8.79,0.157,2.47,4.13,0.735,24.1,8.99,128,49.3,241,55.6,533,91.6
Burnham and Berry 2017,AB195,1395,0.006,31.7,0.07,1.79,4.94,0.786,29.2,9.82,129,48.5,232,51.2,470,85
Burnham and Berry 2017,AB195,677,0.008,24.6,0.035,0.76,1.65,0.505,11.3,3.95,54.8,22,115,28.3,288,54.4
Burnham and Berry 2017,AB195,855,0.055,26.2,0.049,0.76,2.02,0.461,12.8,4.42,65.4,27,148,36.8,390,77.4
Loader et al. 2017,Zircon_OT-102_14_1,928.7046509,0.036024593,12.55177116,0.070085242,0.745716929,1.903183341,0.684664309,13.34083939,5.257483959,69.23471832,29.12786484,159.268219,38.30350113,415.6712646,76.50790405
Loader et al. 2017,Zircon_OT-102_15_1,953.3745117,0.15805082,10.37380791,0.475514054,5.243746758,6.042366982,0.929107428,20.35235405,6.967113495,87.11657715,31.83616066,156.9534607,37.64596939,414.7167358,68.69145966
Loader et al. 2017,Zircon_OT-12_14_1,1999.825562,0.344100386,29.23802567,0.850465953,12.3450489,16.71738052,2.247516394,66.18326569,19.7158165,216.0884247,72.1057663,312.5463257,64.59555054,629.0114746,85.67541504
Loader et al. 2017,Zircon_OT-12_15_1,3259.126709,0.051088203,24.35088539,0.130375922,3.74691534,11.34102058,0.192511514,77.12812042,25.73765945,333.7659607,118.616127,522.5071411,97.99979401,813.4866333,140.6279602
Loader et al. 2017,Zircon_OT-12_17_1,606.0502319,0.14147377,6.047894001,0.100537077,0.80125159,1.874952316,0.522749007,12.02917099,4.116492748,50.86594009,19.81476593,98.31074524,24.07861137,248.2914734,43.5274353
Loader et al. 2017,Zircon_OT-12_2_1,765.2876587,0.044971853,8.024256706,0.191500157,4.331533432,6.616102695,1.13811779,28.56801224,7.839939117,87.21564484,27.80323982,111.8597488,22.56227875,225.7243347,32.86252594
Loader et al. 2017,Zircon_OT-12_2_2,654.5725098,0.047904316,21.3221817,0.124076545,1.945766091,3.670956135,0.261313915,15.87379074,5.822751999,67.61841583,22.87269402,105.9045105,22.9994545,222.646759,34.18299484
Loader et al. 2017,Zircon_OT-12_21_1,923.3859863,0.028062316,11.21925068,0.047359332,0.506270468,2.058162451,1.091023088,14.14081478,4.918388367,64.12280273,26.66068268,137.7456665,31.94228745,321.0913696,72.00915527
Loader et al. 2017,Zircon_OT-12_9_1,1010.082825,0.030540723,9.134784698,0.140172511,2.030806303,4.293328285,0.968809366,20.34112358,7.155236721,93.05010986,34.96844101,173.1768036,41.7419548,460.6246338,72.77705383
Loader et al. 2017,Zircon_OT-122_19_2,972.9293213,0.027403729,15.39414883,0.02196357,0.440574795,2.261229515,0.77079314,15.62985897,5.816692829,81.808815,32.62501144,165.6583252,40.98545074,467.7034607,68.8646698
Loader et al. 2017,Zircon_OT-122_6_1,253.1750183,0.041600283,7.053167343,0.022345332,0.306906372,0.360168368,0.221220538,2.240422249,0.923110783,13.95503712,6.826546192,43.01132202,14.25356865,221.5293121,40.99129105
Loader et al. 2017,Zircon_OT-122_6_2,412.6869507,0.203481153,10.77759171,0.071118869,0.569839954,1.159716606,0.337553352,6.585432529,2.306740046,32.87179947,13.63419247,70.33839417,17.81283569,207.4774475,34.81752396
Loader et al. 2017,Zircon_OT-122_8_1,978.8869629,0.142484352,9.998498917,0.05624254,0.985037386,3.137468815,1.04146409,19.85414314,6.825056076,85.9524765,33.45376205,161.1703644,37.5206604,400.8214111,66.82753754
Loader et al. 2017,Zircon_OT-132_21_1,1064.647095,0.025617303,28.02952194,0.041862782,0.391021997,0.955120325,0.776653528,7.289655685,2.928663731,46.93453598,25.40559006,173.6622925,58.39469528,856.7322998,186.9647522
Loader et al. 2017,Zircon_OT-132_22_2,1738.7052,0.037532691,14.46894264,0.196698233,2.953073025,5.919910908,2.118916035,31.63936996,11.4746542,148.4162903,54.86813736,285.4264526,69.95133209,782.6866455,114.4986191
Loader et al. 2017,Zircon_OT-132_25_1,1531.635132,0.027962165,17.15559006,0.157286853,2.559943914,5.545603752,1.90915823,29.67633438,10.33973598,126.5507813,48.89580917,239.4692688,58.39461517,636.0231323,101.351593
Loader et al. 2017,Zircon_OT-140_1_1,388.8539734,0.046866063,10.42601395,0.068168819,0.64116776,1.088456392,0.651333451,5.124548435,1.678949833,21.23030663,9.750946999,61.86999512,18.09518051,247.407135,66.17072296
